SMILES,with_star,no_star,num_star,ring_count,logP,TPSA,HBD,HBA
[1*]C1=NC([2*])=CC([3*])=C1[4*],[1*]C1=NC([2*])=CC([3*])=C1[4*],C1=NC=CC=C1,4,1,1.1407,12.36,0,1
[1*]C1=NC([2*])=C([3*])C=C1,[1*]C1=NC([2*])=C([3*])C=C1,C1=NC=CC=C1,3,1,1.1407,12.36,0,1
[1*]C1=NC([2*])=C([3*])C=C1[4*],[1*]C1=NC([2*])=C([3*])C=C1[4*],C1=NC=CC=C1,4,1,1.1407,12.36,0,1
[1*]C1=NC([2*])=C([3*])C([4*])=C1,[1*]C1=NC([2*])=C([3*])C([4*])=C1,C1=NC=CC=C1,4,1,1.1407,12.36,0,1
[1*]C1=NC([2*])=C([3*])C([4*])=C1[5*],[1*]C1=NC([2*])=C([3*])C([4*])=C1[5*],C1=NC=CC=C1,5,1,1.1407,12.36,0,1
C1=CC=CN=N1,C1=CC=CN=N1,C1=CC=CN=N1,0,1,1.4795999999999998,24.72,0,2
C1=CC=C([1*])N=N1,C1=CC=C([1*])N=N1,C1=CC=CN=N1,1,1,1.4795999999999998,24.72,0,2
C1=CC([1*])=CN=N1,C1=CC([1*])=CN=N1,C1=CC=CN=N1,1,1,1.4795999999999998,24.72,0,2
C1=CC([1*])=C([2*])N=N1,C1=CC([1*])=C([2*])N=N1,C1=CC=CN=N1,2,1,1.4795999999999998,24.72,0,2
C1=C([1*])C=CN=N1,C1=C([1*])C=CN=N1,C1=CC=CN=N1,1,1,1.4795999999999998,24.72,0,2
C1=C([1*])C=C([2*])N=N1,C1=C([1*])C=C([2*])N=N1,C1=CC=CN=N1,2,1,1.4795999999999998,24.72,0,2
C1=C([1*])C([2*])=CN=N1,C1=C([1*])C([2*])=CN=N1,C1=CC=CN=N1,2,1,1.4795999999999998,24.72,0,2
C1=C([1*])C([2*])=C([3*])N=N1,C1=C([1*])C([2*])=C([3*])N=N1,C1=CC=CN=N1,3,1,1.4795999999999998,24.72,0,2
[1*]C1=CC=CN=N1,[1*]C1=CC=CN=N1,C1=CC=CN=N1,1,1,1.4795999999999998,24.72,0,2
[1*]C1=CC=C([2*])N=N1,[1*]C1=CC=C([2*])N=N1,C1=CC=CN=N1,2,1,1.4795999999999998,24.72,0,2
[1*]C1=CC([2*])=CN=N1,[1*]C1=CC([2*])=CN=N1,C1=CC=CN=N1,2,1,1.4795999999999998,24.72,0,2
[1*]C1=CC([2*])=C([3*])N=N1,[1*]C1=CC([2*])=C([3*])N=N1,C1=CC=CN=N1,3,1,1.4795999999999998,24.72,0,2
[1*]C1=C([2*])C=CN=N1,[1*]C1=C([2*])C=CN=N1,C1=CC=CN=N1,2,1,1.4795999999999998,24.72,0,2
[1*]C1=C([2*])C=C([3*])N=N1,[1*]C1=C([2*])C=C([3*])N=N1,C1=CC=CN=N1,3,1,1.4795999999999998,24.72,0,2
[1*]C1=C([2*])C([3*])=CN=N1,[1*]C1=C([2*])C([3*])=CN=N1,C1=CC=CN=N1,3,1,1.4795999999999998,24.72,0,2
[1*]C1=C([2*])C([3*])=C([4*])N=N1,[1*]C1=C([2*])C([3*])=C([4*])N=N1,C1=CC=CN=N1,4,1,1.4795999999999998,24.72,0,2
C1=NC=CC=N1,C1=NC=CC=N1,C1=NC=CC=N1,0,1,0.6128,24.72,0,2
C1=NC=CC([1*])=N1,C1=NC=CC([1*])=N1,C1=NC=CC=N1,1,1,0.6128,24.72,0,2
C1=NC=C([1*])C=N1,C1=NC=C([1*])C=N1,C1=NC=CC=N1,1,1,0.6128,24.72,0,2
C1=NC=C([1*])C([2*])=N1,C1=NC=C([1*])C([2*])=N1,C1=NC=CC=N1,2,1,0.6128,24.72,0,2
C1=NC([1*])=CC=N1,C1=NC([1*])=CC=N1,C1=NC=CC=N1,1,1,0.6128,24.72,0,2
C1=NC([1*])=CC([2*])=N1,C1=NC([1*])=CC([2*])=N1,C1=NC=CC=N1,2,1,0.6128,24.72,0,2
C1=NC([1*])=C([2*])C=N1,C1=NC([1*])=C([2*])C=N1,C1=NC=CC=N1,2,1,0.6128,24.72,0,2
C1=NC([1*])=C([2*])C([3*])=N1,C1=NC([1*])=C([2*])C([3*])=N1,C1=NC=CC=N1,3,1,0.6128,24.72,0,2
[1*]C1=NC=CC=N1,[1*]C1=NC=CC=N1,C1=NC=CC=N1,1,1,0.6128,24.72,0,2
[1*]C1=NC=CC([2*])=N1,[1*]C1=NC=CC([2*])=N1,C1=NC=CC=N1,2,1,0.6128,24.72,0,2
[1*]C1=NC=C([2*])C=N1,[1*]C1=NC=C([2*])C=N1,C1=NC=CC=N1,2,1,0.6128,24.72,0,2
[1*]C1=NC=C([2*])C([3*])=N1,[1*]C1=NC=C([2*])C([3*])=N1,C1=NC=CC=N1,3,1,0.6128,24.72,0,2
[1*]C1=NC([2*])=CC=N1,[1*]C1=NC([2*])=CC=N1,C1=NC=CC=N1,2,1,0.6128,24.72,0,2
[1*]C1=NC([2*])=CC([3*])=N1,[1*]C1=NC([2*])=CC([3*])=N1,C1=NC=CC=N1,3,1,0.6128,24.72,0,2
[1*]C1=NC([2*])=C([3*])C=N1,[1*]C1=NC([2*])=C([3*])C=N1,C1=NC=CC=N1,3,1,0.6128,24.72,0,2
[1*]C1=NC([2*])=C([3*])C([4*])=N1,[1*]C1=NC([2*])=C([3*])C([4*])=N1,C1=NC=CC=N1,4,1,0.6128,24.72,0,2
C1=NC=CN=C1,C1=NC=CN=C1,C1=NC=CN=C1,0,1,0.6128,24.72,0,2
